Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,COMPLETE,2_medio
2,Page,,,,,,,,,,Pagina 1
3,Region,Google Cloud Platform 2018,2,,,,,,,,ateneo
4,Region,Google Cloud Platform 2018,2,,,,,,,,aule
5,Zone,Google Cloud Platform 2018,2,4,,,,,,,aula_delta
6,Zone,Google Cloud Platform 2018,2,4,,,,,,,armadio_aule
7,Zone,Google Cloud Platform 2018,2,4,,,,,,,aula_alpha
8,Zone,Google Cloud Platform 2018,2,3,,,,,,,segreteria
9,Zone,Google Cloud Platform 2018,2,3,,,,,,,rack_server
10,Region,Google Cloud Platform 2018,2,,,,,,,,uffici
11,Zone,Google Cloud Platform 2018,2,10,,,,,,,uff1
12,Zone,Google Cloud Platform 2018,2,10,,,,,,,uff2
13,Zone,Google Cloud Platform 2018,2,10,,,,,,,uff3
14,Zone,Google Cloud Platform 2018,2,10,,,,,,,armadio_uff
15,Region,Google Cloud Platform 2018,2,,,,,,,,laboratorio
16,Zone,Google Cloud Platform 2018,2,15,,,,,,,cell1
17,Zone,Google Cloud Platform 2018,2,15,,,,,,,cell2
18,Zone,Google Cloud Platform 2018,2,15,,,,,,,cell3
19,Zone,Google Cloud Platform 2018,2,15,,,,,,,cell4
20,Zone,Google Cloud Platform 2018,2,15,,,,,,,cell5
21,Zone,Google Cloud Platform 2018,2,15,,,,,,,cell6
22,Zone,Google Cloud Platform 2018,2,15,,,,,,,armadio_lab
23,Zone,Google Cloud Platform 2018,2,15,,,,,,,research
24,Zone,Google Cloud Platform 2018,2,15,,,,,,,management
25,Zone,Google Cloud Platform 2018,2,15,,,,,,,conveyor
26,Zone,Google Cloud Platform 2018,2,3,,,,,,,armadio_ateneo
27,Circle,Geometric Shapes,2,3|8,,,,,,,se_pc1
28,Circle,Geometric Shapes,2,3|8,,,,,,,se_pc2
29,Circle,Geometric Shapes,2,3|9,,,,,,,se_pc3
30,Circle,Geometric Shapes,2,4|5,,,,,,,proiett
31,Circle,Geometric Shapes,2,4|5,,,,,,,desktop
32,Circle,Geometric Shapes,2,4|7,,,,,,,alpha_pc1
33,Circle,Geometric Shapes,2,10|11,,,,,,,uff_pc1
34,Circle,Geometric Shapes,2,10|11,,,,,,,uff_pc2
35,Circle,Geometric Shapes,2,10|12,,,,,,,uff_pc3
36,Circle,Geometric Shapes,2,10|12,,,,,,,uff_pc4
37,Circle,Geometric Shapes,2,10|13,,,,,,,uff_pc5
38,Circle,Geometric Shapes,2,10|13,,,,,,,uff_pc6
39,Router,Network Infrastructure,2,3|26,,,,,,,r_ateneo
40,Switch,Network Infrastructure,2,15|22,,,,,,,Switch
41,Router,Network Infrastructure,2,15|22,,,,,,,r_lab1
42,Router,Network Infrastructure,2,15|22,,,,,,,r_lab2
43,Server,Network Infrastructure,2,15|22,,,,,,,vpn_lab
44,Circle,Geometric Shapes,2,15|16,,,,,,,efc1
45,Circle,Geometric Shapes,2,15|16,,,,,,,efc2
46,Circle,Geometric Shapes,2,15|17,,,,,,,mill_mach
47,Circle,Geometric Shapes,2,15|17,,,,,,,pc_cell2
48,Circle,Geometric Shapes,2,15|18,,,,,,,printer2
49,Circle,Geometric Shapes,2,15|18,,,,,,,printer1
50,Circle,Geometric Shapes,2,15|25,,,,,,,conv1
51,Circle,Geometric Shapes,2,15|25,,,,,,,conv2
52,Circle,Geometric Shapes,2,15|23,,,,,,,rsch
53,Circle,Geometric Shapes,2,15|24,,,,,,,mgmt
54,Circle,Geometric Shapes,2,15|21,,,,,,,warehouse1
55,Circle,Geometric Shapes,2,15|21,,,,,,,warehouse2
56,Circle,Geometric Shapes,2,15|20,,,,,,,vision1
57,Circle,Geometric Shapes,2,15|20,,,,,,,vision2
58,Circle,Geometric Shapes,2,15|19,,,,,,,abb
59,Circle,Geometric Shapes,2,15|19,,,,,,,kuka
60,Circle,Geometric Shapes,2,15|19,,,,,,,plc
61,Router,Network Infrastructure,2,10|14,,,,,,,r_ufficio
62,Server,Network Infrastructure,2,3|9,,,,,,,s_ateneo
63,Server,Network Infrastructure,2,4|7,,,,,,,s_aule
64,Router,Network Infrastructure,2,4|6,,,,,,,r_aule
65,Line,,2,,,39,27,None,None,,
66,Line,,2,,,39,28,None,None,,
