Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,COMPLETE,3_difficile
2,Page,,,,,,,,,,Pagina 1
3,Region,Google Cloud Platform 2018,2,,,,,,,,bar
4,Zone,Google Cloud Platform 2018,2,3,,,,,,,armadio_bar
5,Region,Google Cloud Platform 2018,2,,,,,,,,amm
6,Zone,Google Cloud Platform 2018,2,5,,,,,,,amm1
7,Zone,Google Cloud Platform 2018,2,5,,,,,,,amm2
8,Zone,Google Cloud Platform 2018,2,5,,,,,,,amm3
9,Zone,Google Cloud Platform 2018,2,5,,,,,,,armadio_amm
10,Region,Google Cloud Platform 2018,2,,,,,,,,biblioteca
11,Zone,Google Cloud Platform 2018,2,10,,,,,,,biblio1
12,Zone,Google Cloud Platform 2018,2,10,,,,,,,armadio_biblioteca
13,Zone,Google Cloud Platform 2018,2,10,,,,,,,biblio2
14,Zone,Google Cloud Platform 2018,2,3,,,,,,,cassa_bar
15,Region,Google Cloud Platform 2018,2,,,,,,,,ateneo
16,Region,Google Cloud Platform 2018,2,,,,,,,,aule
17,Zone,Google Cloud Platform 2018,2,16,,,,,,,aula_delta
18,Zone,Google Cloud Platform 2018,2,16,,,,,,,armadio_aule
19,Zone,Google Cloud Platform 2018,2,16,,,,,,,aula_alpha
20,Zone,Google Cloud Platform 2018,2,15,,,,,,,segreteria
21,Zone,Google Cloud Platform 2018,2,15,,,,,,,rack_server
22,Region,Google Cloud Platform 2018,2,,,,,,,,uffici
23,Zone,Google Cloud Platform 2018,2,22,,,,,,,uff1
24,Zone,Google Cloud Platform 2018,2,22,,,,,,,uff2
25,Zone,Google Cloud Platform 2018,2,22,,,,,,,uff3
26,Zone,Google Cloud Platform 2018,2,22,,,,,,,armadio_uff
27,Region,Google Cloud Platform 2018,2,,,,,,,,laboratorio
28,Zone,Google Cloud Platform 2018,2,27,,,,,,,cell1
29,Zone,Google Cloud Platform 2018,2,27,,,,,,,cell2
30,Zone,Google Cloud Platform 2018,2,27,,,,,,,cell3
31,Zone,Google Cloud Platform 2018,2,27,,,,,,,cell4
32,Zone,Google Cloud Platform 2018,2,27,,,,,,,cell5
33,Zone,Google Cloud Platform 2018,2,27,,,,,,,cell6
34,Zone,Google Cloud Platform 2018,2,27,,,,,,,armadio_lab
35,Zone,Google Cloud Platform 2018,2,27,,,,,,,research
36,Zone,Google Cloud Platform 2018,2,27,,,,,,,management
37,Zone,Google Cloud Platform 2018,2,27,,,,,,,conveyor
38,Zone,Google Cloud Platform 2018,2,15,,,,,,,armadio_ateneo
39,Circle,Geometric Shapes,2,5|6,,,,,,,amm_pc1
40,Circle,Geometric Shapes,2,5|6,,,,,,,amm_pc2
41,Circle,Geometric Shapes,2,5|7,,,,,,,amm_pc3
42,Circle,Geometric Shapes,2,5|7,,,,,,,amm_pc4
43,Circle,Geometric Shapes,2,5|8,,,,,,,amm_pc5
44,Circle,Geometric Shapes,2,5|8,,,,,,,amm_pc6
45,Circle,Geometric Shapes,2,3|14,,,,,,,bar_pc1
46,Circle,Geometric Shapes,2,10|11,,,,,,,pc2_bib1
47,Circle,Geometric Shapes,2,10|11,,,,,,,pc1_bib1
48,Circle,Geometric Shapes,2,10|13,,,,,,,pc1_bib2
49,Circle,Geometric Shapes,2,15|20,,,,,,,se_pc1
50,Circle,Geometric Shapes,2,15|20,,,,,,,se_pc2
51,Circle,Geometric Shapes,2,15|21,,,,,,,se_pc3
52,Circle,Geometric Shapes,2,16|17,,,,,,,proiett
53,Circle,Geometric Shapes,2,16|17,,,,,,,desktop
54,Circle,Geometric Shapes,2,16|19,,,,,,,alpha_pc1
55,Circle,Geometric Shapes,2,22|23,,,,,,,uff_pc1
56,Circle,Geometric Shapes,2,22|23,,,,,,,uff_pc2
57,Circle,Geometric Shapes,2,22|24,,,,,,,uff_pc3
58,Circle,Geometric Shapes,2,22|24,,,,,,,uff_pc4
59,Circle,Geometric Shapes,2,22|25,,,,,,,uff_pc5
60,Circle,Geometric Shapes,2,22|25,,,,,,,uff_pc6
61,Router,Network Infrastructure,2,15|38,,,,,,,r_ateneo
62,Switch,Network Infrastructure,2,27|34,,,,,,,Switch
